song_id,project_id,title,audio,video,release_date,feature,featured_by,producers,genre,duration,youtube,verified_date,verified_by,confidence_level,notes
36,1,Pancake,,,,,,Shatta Wale,,,,,,,
37,1,Killa Ji Mi,,,,,,Shatta Wale,,,,,,,
38,1,Ayoo,,,,,,Shatta Wale,,,,,,,
39,1,Hosanna,,,,,,Shatta Wale,,,,,,,
40,1,Starbwoy,,,,,,Shatta Wale,,,,,,,
41,1,Kill Dem Wif Prayers,,,,,,Shatta Wale,,,,,,,
42,1,On God,,,,,,Shatta Wale,,,,,,,
43,1,God Is Here,,,,,,Shatta Wale,,,,,,,
44,1,Exodus,,,,,,Shatta Wale,,,,,,,
45,1,Only One Man,,,,,,Shatta Wale,,,,,,,
46,1,Money Man,,,,,,Shatta Wale,,,,,,,
47,1,Playboy,,,,,,Shatta Wale,,,,,,,
48,1,Amount,,,,,,Shatta Wale,,03:00:00,,,,,
49,1,Baby My Baby,,,,,,Shatta Wale,,,,,,,
50,1,Badoo,,,,,,Shatta Wale,,03:35:00,,,,,
51,1,Bend Over,,,,,,Shatta Wale,,03:52:00,,,,,
52,1,Cesar,,,,,,Shatta Wale,,02:31:00,,,,,
53,1,Freestyles,,,,,,Shatta Wale,,02:40:00,,,,,
54,1,Give Dem Nothing,,,,,,Shatta Wale,,03:30:00,,,,,
55,1,Gringo,,,,,,Shatta Wale,,01:44:00,,,,,
56,1,I Regret,,,,,,Shatta Wale,,03:18:00,,,,,
57,1,If I My Baby,,,,,,Shatta Wale,,03:43:00,,,,,
58,1,K-R-Razzyyyy,,,,,,Shatta Wale,,03:28:00,,,,,
59,1,Mama Stories,,,,,,Shatta Wale,,03:39:00,,,,,
60,1,My Mind Is Made Up,,,,,,Shatta Wale,,02:51:00,,,,,
61,1,One Way Style,,,,,,Shatta Wale,,03:29:00,,,,,
62,1,Rosalinda,,,,,,Shatta Wale,,02:44:00,,,,,
63,1,Sister Sister,,,,,,Shatta Wale,,03:57:00,,,,,
64,1,Squeeze,,,,,,Shatta Wale,,03:12:00,,,,,
65,1,Its Not Over_Iphone Riddim,,,,,,Shatta Wale,,03:48:00,,,,,
66,1,Dem Confuse,,,,,,Shatta Wale,,03:58:00,,,,,
67,1,Time No Dey,,,,,,Shatta Wale,,03:49:00,,,,,
68,1,Akwele Take,,,,,,Shatta Wale,,03:20:00,,,,,
69,1,Apple Juice,,,,,,Shatta Wale,,03:23:00,,,,,
70,1,Save Her Heart,,,,,,Shatta Wale,,02:54:00,,,,,
71,1,Alien,,,,,,Shatta Wale,,02:52:00,,,,,
72,1,Ama Rita,,,,,,Shatta Wale,,02:27:00,,,,,
73,1,Sweet Palava,,,,,,Shatta Wale,,,,,,,
74,1,Fapimso,,,,,,Shatta Wale,,02:40:00,,,,,
75,1,Big Toys,,,,,,Shatta Wale,,03:30:00,,,,,
76,1,Book Of Psalms,,,,,,Shatta Wale,,03:26:00,,,,,
77,1,April Fool,,,,,,Shatta Wale,,02:25:00,,,,,
78,1,Fan Fool,,,,,,Shatta Wale,,02:48:00,,,,,
79,1,Future Dollar,,,,,,Shatta Wale,,03:53:00,,,,,
80,1,Knock Lock,,,,,,Shatta Wale,,03:10:00,,,,,
81,1,No Look,,,,,,Shatta Wale,,03:14:00,,,,,
82,1,Stand Tuff,,,,,,Shatta Wale,,02:42:00,,,,,
83,1,Street Nigga,,,,,,Shatta Wale,,03:40:00,,,,,
84,1,Greatest,,,,,,Shatta Wale,,03:18:00,,,,,
85,1,Dweet Dirty,,,,,,Shatta Wale,,02:46:00,,,,,
86,1,So Long,,,,,,Shatta Wale,,02:46:00,,,,,
87,1,Rookie,,,,,,Shatta Wale,,02:45:00,,,,,
88,1,Brutally Honest,,,,,,Shatta Wale,,03:28:00,,,,,
89,1,I Am Made In Ghana,,,,,,Shatta Wale,,03:18:00,,,,,
90,1,Kill And Gone,,,,,,Shatta Wale,,02:32:00,,,,,
91,1,Automatically,,,,,,Shatta Wale,,03:19:00,,,,,
92,1,"So Real, So Me",,,01/05/2025,,,Shatta Movement Records,Ska & Rocksteady,,,,,,
93,1,Who Send You,,,25/11/2025,,,Shatta Movement Records,Africa,,,,,,
94,1,Dem Go Regret,,,20/11/2025,,,Shatta Movement Records,Africa,,,,,,
95,1,Global Champion,,,05/12/2025,,,Shatta Movement Records,Ska & Rocksteady,,,,,,
96,1,Real Badman,,,16/03/2018,,,Damage Musiq,Reggae,,,,,,
97,1,Apim,,,27/03/2024,,,Shatta Movement Records,Africa,,,,,,
98,1,My Energy,,,17/05/2025,,,Shatta Movement Records,Ska & Rocksteady,,,,,,
99,1,Prodigal Son,,,11/07/2024,,,Shatta Movement Records,Africa,,,,,,
100,1,Stone,,,17/04/2024,,,Shatta Movement Records,Africa,,,,,,
101,1,Wash,,,13/11/2024,,,Shatta Movement Records,Africa,,,,,,
102,1,When I Bore,,,19/03/2024,,,Shatta Movement Records,Africa,,,,,,
103,1,Ashawo Friend,,,17/05/2025,,,Shatta Movement Records,Ska & Rocksteady,,,,,,
104,1,True Believer,,,26/03/2018,,,Shot Out,Africa,,,,,,
105,1,Ice Cream Shop - Single (Raw),,,16/12/2016,,,Zack Ariyah Productions - Dj Perf Records,Dancehall,,,,,,
106,1,Adansie,,,21/01/2022,,,Shatta Movement Records,World,,,,,,
107,1,Team A,,,24/01/2024,,,Shatta Movement Records,Africa,,,,,,
108,1,Take Am,,,12/04/2024,,,Shatta Movement Records,Africa,,,,,,
109,1,Diss-Side,,,08/08/2023,,,Shatta Movement Records,Africa,,,,,,
110,1,Like Summer,,,21/01/2022,,,Shatta Movement Records,Dancehall,,,,,,
